data_level,dname,grade,subject,group,year_data,year_created,d,nm,rm
district,RAPOPORT ACADEMY PUBLIC SCHOOL,3,read,all,2025,2025,66,14,0.21
district,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,3,read,all,2025,2025,752,376,0.5
district,CRAWFORD ISD,3,read,all,2025,2025,53,43,0.81
district,MIDWAY ISD,3,read,all,2025,2025,640,396,0.62
district,LA VEGA ISD,3,read,all,2025,2025,256,91,0.36
district,LORENA ISD,3,read,all,2025,2025,141,75,0.53
district,MART ISD,3,read,all,2025,2025,41,23,0.56
district,MCGREGOR ISD,3,read,all,2025,2025,118,36,0.31
district,MOODY ISD,3,read,all,2025,2025,43,23,0.53
district,RIESEL ISD,3,read,all,2025,2025,45,29,0.64
district,WACO ISD,3,read,all,2025,2025,1066,247,0.23
district,WEST ISD,3,read,all,2025,2025,89,59,0.66
district,AXTELL ISD,3,read,all,2025,2025,61,31,0.51
district,BRUCEVILLE-EDDY ISD,3,read,all,2025,2025,35,7,0.2
district,CHINA SPRING ISD,3,read,all,2025,2025,223,125,0.56
district,CONNALLY ISD,3,read,all,2025,2025,172,43,0.25
district,ROBINSON ISD,3,read,all,2025,2025,162,106,0.65
district,BOSQUEVILLE ISD,3,read,all,2025,2025,49,22,0.45
district,HALLSBURG ISD,3,read,all,2025,2025,16,5,0.31
district,GHOLSON ISD,3,read,all,2025,2025,23,0,0
district,MCMULLEN COUNTY ISD,3,read,all,2025,2025,21,11,0.52
district,DEVINE ISD,3,read,all,2025,2025,142,54,0.38
district,D'HANIS ISD,3,read,all,2025,2025,16,11,0.69
district,NATALIA ISD,3,read,all,2025,2025,103,30,0.29
district,HONDO ISD,3,read,all,2025,2025,117,45,0.38
district,MEDINA VALLEY ISD,3,read,all,2025,2025,674,340,0.5
district,MENARD ISD,3,read,all,2025,2025,21,5,0.24
district,MIDLAND ACADEMY CHARTER SCHOOL,3,read,all,2025,2025,52,40,0.77
district,MIDLAND ISD,3,read,all,2025,2025,2259,877,0.39
district,GREENWOOD ISD,3,read,all,2025,2025,232,98,0.42
district,CAMERON ISD,3,read,all,2025,2025,112,56,0.5
district,GAUSE ISD,3,read,all,2025,2025,10,7,0.7
district,MILANO ISD,3,read,all,2025,2025,28,18,0.64
district,ROCKDALE ISD,3,read,all,2025,2025,123,46,0.37
district,THORNDALE ISD,3,read,all,2025,2025,42,17,0.4
district,BUCKHOLTS ISD,3,read,all,2025,2025,12,0,0
district,GOLDTHWAITE ISD,3,read,all,2025,2025,32,24,0.75
district,MULLIN ISD,3,read,all,2025,2025,0,0,
district,PRIDDY ISD,3,read,all,2025,2025,5,2,0.4
district,COLORADO ISD,3,read,all,2025,2025,54,18,0.33
district,LORAINE ISD,3,read,all,2025,2025,11,8,0.73
district,WESTBROOK ISD,3,read,all,2025,2025,17,7,0.41
district,BOWIE ISD,3,read,all,2025,2025,102,30,0.29
district,NOCONA ISD,3,read,all,2025,2025,62,25,0.4
district,GOLD BURG ISD,3,read,all,2025,2025,15,1,0.07
district,MONTAGUE ISD,3,read,all,2025,2025,26,21,0.81
district,PRAIRIE VALLEY ISD,3,read,all,2025,2025,6,4,0.67
district,FORESTBURG ISD,3,read,all,2025,2025,16,6,0.38
district,SAINT JO ISD,3,read,all,2025,2025,22,11,0.5
district,THRIVE CENTER FOR SUCCESS,3,read,all,2025,2025,11,1,0.09
district,CONROE ISD,3,read,all,2025,2025,5265,3044,0.58
district,MONTGOMERY ISD,3,read,all,2025,2025,678,433,0.64
district,WILLIS ISD,3,read,all,2025,2025,664,351,0.53
district,MAGNOLIA ISD,3,read,all,2025,2025,1051,561,0.53
district,SPLENDORA ISD,3,read,all,2025,2025,348,128,0.37
district,NEW CANEY ISD,3,read,all,2025,2025,1368,499,0.36
district,DUMAS ISD,3,read,all,2025,2025,338,168,0.5
district,SUNRAY COLLEGIATE ISD,3,read,all,2025,2025,41,22,0.54
district,DAINGERFIELD-LONE STAR ISD,3,read,all,2025,2025,67,20,0.3
district,PEWITT CISD,3,read,all,2025,2025,59,43,0.73
district,MOTLEY COUNTY ISD,3,read,all,2025,2025,13,4,0.31
